benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
SparkDataFrameUDFApp_1,ok,2.0,5.42,2.0,2.0,13.0,2.0,0.0,27.0,,
SparkDataFrameUDFApp_2,ok,2.0,103.06,3.0,3.0,23.0,3.0,0.0,75.0,,
SparkDataFrameUDFApp_3,ok,2.0,11.09,3.0,3.0,18.0,3.0,0.0,36.0,,
SparkDataFrameUDFApp_4,ok,2.0,102.92,3.0,4.0,23.0,4.0,0.0,100.0,,
SparkDataFrameUDFApp_5,ok,2.0,4.35,5.0,4.0,23.0,4.0,0.0,19.0,,
SparkDataFrameUDFApp_6,ok,2.0,16.54,3.0,2.0,28.0,3.0,1.0,27.0,,
TPCHUDAF_1,ok,2.0,1.29,1.0,3.0,22.0,4.0,1.0,5.0,,
TPCHUDAF_2,ok,3.0,1.97,1.0,3.0,28.0,3.0,1.0,6.0,,
TPCHUDAF_3,ok,1.0,0.21,1.0,0.0,10.0,1.0,1.0,2.0,,
Top2_1,ok,3.0,1.07,1.0,1.0,25.0,4.0,3.0,3.0,,
Top2_2,ok,3.0,1.21,1.0,3.0,25.0,4.0,1.0,7.0,,
Top2_3,ok,3.0,9.28,2.0,3.0,31.0,5.0,2.0,13.0,,
Top2_4,ok,3.0,2.6,3.0,2.0,55.0,4.0,2.0,5.0,,
Top2_5,ok,3.0,5.98,2.0,3.0,46.0,4.0,1.0,10.0,,
Top2_6,ok,3.0,4.3,3.0,3.0,53.0,5.0,2.0,8.0,,
Top2_7,ok,3.0,6.21,3.0,3.0,53.0,5.0,2.0,9.0,,
Top2_8,ok,3.0,18.25,2.0,3.0,70.0,7.0,4.0,13.0,,
Top2_9,ok,3.0,48.7,2.0,4.0,47.0,6.0,2.0,27.0,,
UDAF2_1,ok,2.0,136.31,4.0,3.0,17.0,3.0,0.0,103.0,,
UDAF2_2,ok,3.0,26.91,5.0,3.0,18.0,3.0,1.0,50.0,,
UDAF2_3,ok,2.0,17.82,4.0,2.0,18.0,2.0,0.0,39.0,,
UDAF2_4,ok,3.0,52.8,5.0,3.0,23.0,3.0,1.0,66.0,,
UDAF2_5,ok,3.0,5.68,5.0,2.0,18.0,2.0,1.0,20.0,,
UDAF2_6,timeout,,,,,,,,,,
UDAF_1,ok,2.0,1.99,4.0,2.0,12.0,2.0,0.0,14.0,,
UDAF_2,ok,3.0,4.12,3.0,2.0,18.0,2.0,1.0,14.0,,
UDAF_3,ok,3.0,4.2,3.0,2.0,23.0,3.0,2.0,11.0,,
UDAF_4,ok,2.0,31.2,3.0,1.0,23.0,2.0,1.0,36.0,,
UserDefinedAggregationFunctionTest_1,ok,2.0,3.18,1.0,4.0,11.0,4.0,0.0,14.0,,
UserDefinedAggregationFunctionTest_2,ok,2.0,2.15,1.0,4.0,7.0,4.0,0.0,16.0,,
UserDefinedAggregationFunctionTest_3,ok,2.0,3.19,1.0,4.0,11.0,4.0,0.0,14.0,,
UserDefinedAggregationFunctionTest_4,ok,2.0,4.45,1.0,4.0,15.0,4.0,0.0,14.0,,
